end_time,run,gain_set,gain_actual,signal,peak_signal,noise,snr,modes,bad,p_bad,messages_valid,max_distance
1701173605.0,26,16.6,16.6,-18.3,-9.0,-43.4,25.1,92682,54589,0.589,793,266270
1701173685.0,26,20.7,20.7,-19.5,-5.1,-42.2,22.7,139786,77246,0.553,1878,254749
1701173755.0,26,43.9,43.9,-9.6,-1.1,-28.6,19.0,1644605,1149728,0.699,2973,238867
1701173835.0,26,49.6,49.6,-13.0,-1.5,-29.1,16.1,1833546,1296315,0.707,3225,458882
1701173905.0,26,33.8,33.8,-22.9,-15.1,-35.2,12.3,578763,361411,0.624,3224,205984
1701173985.0,26,32.8,32.8,-24.1,-16.6,-36.7,12.6,413146,248899,0.602,3647,433435
1701174055.0,26,38.6,38.6,-20.1,-11.8,-33.6,13.5,1037174,681489,0.657,4242,415224
1701174135.0,26,19.7,19.7,-32.5,-27.1,-43.7,11.2,107962,56042,0.519,1991,225329
1701174215.0,26,29.7,29.7,-24.4,-17.9,-38.2,13.8,334503,198238,0.593,4032,377058
1701174285.0,26,42.1,42.1,-16.9,-9.2,-31.6,14.7,1419709,975778,0.687,4385,477367
1701174365.0,26,22.9,22.9,-28.2,-21.9,-42.0,13.8,182316,101357,0.556,3254,337531
1701174435.0,26,-10,59.0,-6.4,-1.9,-22.4,16.0,2641882,1933495,0.732,5171,581496
1701174515.0,27,29.7,29.7,-25.4,-16.6,-38.9,13.5,296033,173589,0.586,5017,429222
1701174585.0,27,33.8,33.8,-21.9,-12.2,-36.7,14.8,567954,351967,0.62,4844,417785
1701174665.0,27,40.2,40.2,-19.2,-9.7,-33.7,14.5,1193392,805991,0.675,5618,525429
1701174735.0,27,43.4,43.4,-17.9,-6.8,-32.2,14.3,1598918,1114746,0.697,4935,509601
1701174815.0,27,37.2,37.2,-22.5,-13.3,-36.2,13.7,880898,572135,0.649,4913,375074
1701174885.0,27,25.4,25.4,-31.1,-22.8,-42.5,11.4,144419,78249,0.542,3815,385533
1701174965.0,27,19.7,19.7,-33.6,-28.8,-43.9,10.3,72549,39500,0.544,1204,320840
1701175035.0,27,16.6,16.6,-35.3,-31.1,-44.4,9.1,42846,21331,0.498,676,189404
1701175115.0,27,15.7,15.7,-36.1,-33.0,-44.4,8.3,37496,18439,0.492,360,175419
1701175185.0,27,42.1,42.1,-20.4,-10.4,-30.9,10.5,1355288,924861,0.682,5731,465560
1701175265.0,27,-10,59.0,-8.7,-2.2,-22.8,14.1,2539741,1857653,0.731,4601,447860
1701175335.0,27,36.4,36.4,-23.3,-14.6,-34.8,11.5,639272,396172,0.62,3875,431841
1701175415.0,27,22.9,22.9,-29.3,-19.9,-42.2,12.9,148342,81580,0.55,2177,333304
1701175495.0,27,28.0,28.0,-26.9,-16.9,-39.9,13.0,200468,114331,0.57,3705,455396
1701175565.0,27,20.7,20.7,-31.6,-25.4,-43.6,12.0,94685,52178,0.551,2258,340215
1701175645.0,27,32.8,32.8,-24.4,-15.6,-37.6,13.2,405587,239571,0.591,5929,417391
1701175715.0,27,48.0,48.0,-16.1,-6.5,-28.8,12.7,1845001,1301095,0.705,7149,461976
1701175795.0,27,43.9,43.9,-17.5,-7.6,-30.4,12.9,1640154,1141753,0.696,7074,596928
1701175865.0,27,44.5,44.5,-16.8,-7.5,-31.5,14.7,1594378,1107441,0.695,7081,587308
1701175945.0,27,38.6,38.6,-20.5,-10.5,-34.2,13.7,946368,615817,0.651,7450,554026
1701176015.0,27,49.6,49.6,-16.4,-4.0,-29.0,12.6,1913191,1348727,0.705,10614,587390
1701176095.0,28,40.2,40.2,-19.5,-5.2,-31.1,11.6,1251782,842160,0.673,7899,403040
1701176165.0,28,28.0,28.0,-25.6,-10.3,-37.7,12.1,288242,166892,0.579,6229,503067
1701176245.0,28,38.6,38.6,-14.3,-1.1,-30.1,15.8,1078791,713235,0.661,7601,529754
1701176315.0,28,33.8,33.8,-14.4,-1.6,-32.8,18.4,660484,411714,0.623,7781,512393
1701176395.0,28,48.0,48.0,-12.8,-1.2,-28.7,15.9,1906265,1343321,0.705,7971,490757
1701176465.0,28,16.6,16.6,-33.9,-28.8,-44.4,10.5,62762,35972,0.573,2026,214498
1701176545.0,28,-10,59.0,-6.6,-2.0,-22.5,15.9,2651129,1941619,0.732,8168,570310
1701176615.0,28,42.1,42.1,-17.2,-8.0,-33.2,16.0,1497074,1021814,0.683,8410,588763
1701176695.0,28,15.7,15.7,-34.5,-29.8,-44.5,10.0,50993,28508,0.559,1204,143676
1701176765.0,28,22.9,22.9,-29.5,-21.9,-42.3,12.8,165551,91087,0.55,4590,391841
1701176845.0,28,43.4,43.4,-17.2,-6.6,-30.5,13.3,1669888,1163510,0.697,9287,384420
1701176925.0,28,29.7,29.7,-26.0,-15.2,-39.0,13.0,329771,190740,0.578,8491,365698
1701176995.0,28,44.5,44.5,-18.6,-8.5,-31.5,12.9,1681721,1172001,0.697,9736,486609
1701177075.0,28,36.4,36.4,-22.8,-14.0,-36.2,13.4,674692,419106,0.621,8673,441458
1701177145.0,28,20.7,20.7,-32.4,-26.1,-43.8,11.4,78760,37311,0.474,4588,338357
1701177225.0,28,43.9,43.9,-17.3,-7.5,-30.9,13.6,1671004,1165107,0.697,10903,443317
1701177295.0,28,32.8,32.8,-23.8,-13.3,-37.5,13.7,431664,252682,0.585,9642,425627
1701177375.0,28,25.4,25.4,-27.7,-18.5,-42.0,14.3,169292,89688,0.53,6671,414641
1701177445.0,28,19.7,19.7,-31.3,-23.3,-43.6,12.3,107912,54432,0.504,4365,232878
1701177525.0,28,37.2,37.2,-18.5,-8.2,-34.5,16.0,937055,604584,0.645,10121,384600
1701177595.0,28,49.6,49.6,-12.5,-2.8,-29.1,16.6,1938588,1368766,0.706,11156,579573
1701177675.0,29,49.6,49.6,-12.7,-2.9,-30.0,17.3,1951781,1376942,0.705,10978,350983
1701177745.0,29,-10,59.0,-5.5,-1.0,-22.1,16.6,2690327,1966709,0.731,11559,540707
1701177825.0,29,20.7,20.7,-31.2,-20.9,-43.7,12.5,91993,45997,0.5,6186,318219
1701177895.0,29,15.7,15.7,-34.9,-28.1,-44.6,9.7,32232,13941,0.433,2081,163947
1701177975.0,29,29.7,29.7,-26.1,-16.1,-39.5,13.4,332750,187673,0.564,11969,478605
1701178045.0,29,40.2,40.2,-19.3,-8.5,-32.9,13.6,1370751,923175,0.673,12322,467376
1701178125.0,29,33.8,33.8,-21.2,-8.8,-34.8,13.6,692239,430534,0.622,11330,307308
1701178205.0,29,42.1,42.1,-17.2,-4.9,-30.3,13.1,1497853,1023344,0.683,12267,434587
1701178275.0,29,43.9,43.9,-16.9,-6.1,-28.4,11.5,1843743,1288382,0.699,17395,410748
1701178355.0,29,28.0,28.0,-27.2,-17.7,-39.0,11.8,322140,187988,0.584,12275,618277
1701178425.0,29,38.6,38.6,-20.0,-10.3,-32.7,12.7,1113781,730304,0.656,12977,384883
1701178505.0,29,43.4,43.4,-17.0,-2.8,-29.3,12.3,1754941,1221888,0.696,14781,582128
1701178575.0,29,36.4,36.4,-21.7,-1.3,-33.1,11.4,743939,463607,0.623,17519,463519
1701178655.0,29,22.9,22.9,-20.0,-2.7,-38.0,18.0,234562,140218,0.598,7146,264343
1701178725.0,29,32.8,32.8,-15.2,-2.2,-33.6,18.4,506899,313471,0.618,9076,431991
1701178805.0,29,44.5,44.5,-13.8,-1.0,-28.3,14.5,1730381,1206149,0.697,11235,512336
1701178875.0,29,37.2,37.2,-16.0,-0.9,-31.3,15.3,996156,644812,0.647,14593,392438
1701178955.0,29,16.6,16.6,-25.4,-14.1,-43.5,18.1,65672,32277,0.491,3341,248742
1701179025.0,29,25.4,25.4,-24.0,-7.9,-41.2,17.2,170505,90312,0.53,8288,352804
1701179105.0,29,48.0,48.0,-14.6,-3.5,-29.1,14.5,1922413,1349022,0.702,14921,437178
1701179175.0,29,19.7,19.7,-30.7,-20.8,-43.4,12.7,112223,55940,0.498,5800,312079
1701179255.0,30,40.2,40.2,-17.3,-3.6,-32.6,15.3,1399884,943065,0.674,13664,421294
1701179335.0,30,33.8,33.8,-20.9,-11.0,-35.9,15.0,710614,435617,0.613,12115,414276
1701179405.0,30,25.4,25.4,-28.4,-16.8,-41.7,13.3,183557,96840,0.528,9350,381025
