end_time,run,gain_set,gain_actual,signal,peak_signal,noise,snr,modes,bad,p_bad,messages_valid,max_distance
1701193995.0,4,36.4,36.4,-12.0,-1.9,-23.0,11.0,3440839,2328402,0.677,54830,440588
1701194065.0,4,28.0,28.0,-15.6,-1.4,-28.5,12.9,2132722,1308840,0.614,51611,409232
1701194145.0,4,-10,59.0,-4.8,-0.8,-12.7,7.9,5187534,3799168,0.732,54007,468738
1701194215.0,4,32.8,32.8,-13.8,-0.9,-24.5,10.7,3046910,1984799,0.651,57191,476569
1701194295.0,4,37.2,37.2,-11.0,-0.9,-22.1,11.1,3593720,2470780,0.688,56799,500806
1701194365.0,4,38.6,38.6,-10.5,-1.0,-21.6,11.1,4002963,2770242,0.692,60288,507502
1701194445.0,4,43.4,43.4,-9.1,-0.9,-18.7,9.6,4447427,3172703,0.713,57813,514890
1701194525.0,4,33.8,33.8,-11.4,-1.0,-22.6,11.2,3234527,2191967,0.678,55970,500662
1701194595.0,4,48.0,48.0,-8.3,-0.8,-17.4,9.1,4774220,3450301,0.723,56351,513094
1701194675.0,4,43.9,43.9,-8.2,-0.9,-17.8,9.6,4629673,3325772,0.718,57380,451793
1701194745.0,4,40.2,40.2,-9.6,-0.9,-19.7,10.1,4208807,2982856,0.709,58210,440983
1701194825.0,4,44.5,44.5,-8.6,-0.8,-18.3,9.7,4564682,3284473,0.72,57834,469936
1701194895.0,4,49.6,49.6,-8.3,-0.8,-17.2,8.9,4709609,3396164,0.721,58746,461150
1701194975.0,4,25.4,25.4,-16.3,-1.6,-27.2,10.9,1990880,1231525,0.619,47521,474459
1701195045.0,5,42.1,42.1,-9.0,-1.1,-18.7,9.7,4376842,3129180,0.715,57479,486415
1701195125.0,5,36.4,36.4,-11.5,-0.9,-21.6,10.1,3401011,2315214,0.681,57894,499245
1701195195.0,5,43.4,43.4,-8.9,-0.9,-19.1,10.2,4409441,3153044,0.715,55573,512175
1701195275.0,5,32.8,32.8,-13.6,-1.0,-24.7,11.1,2708579,1776635,0.656,52358,524940
1701195345.0,5,40.2,40.2,-10.3,-0.9,-20.4,10.1,3651418,2553469,0.699,55435,495960
1701195425.0,5,29.7,29.7,-15.1,-1.4,-25.9,10.8,2200423,1402749,0.637,54660,414519
1701195495.0,5,44.5,44.5,-9.2,-0.9,-19.2,10.0,4472820,3186153,0.712,61114,424882
1701195575.0,5,48.0,48.0,-8.9,-1.1,-18.4,9.5,4247481,3043140,0.716,56728,732085
1701195645.0,5,43.9,43.9,-9.0,-1.0,-19.3,10.3,4396755,3137291,0.714,61974,745632
1701195725.0,5,28.0,28.0,-15.5,-2.5,-27.5,12.0,2162351,1367555,0.632,49605,483601
1701195805.0,5,38.6,38.6,-10.7,-1.0,-21.9,11.2,3775533,2628974,0.696,58573,621379
1701195875.0,5,49.6,49.6,-8.1,-0.8,-18.2,10.1,4809148,3481099,0.724,56494,457603
1701195955.0,5,25.4,25.4,-16.4,-3.5,-29.6,13.2,1791914,1077301,0.601,49727,360945
1701196025.0,5,33.8,33.8,-12.0,-1.3,-23.3,11.3,3369095,2272504,0.675,55091,427880
1701196105.0,5,-10,59.0,-4.6,-0.8,-12.0,7.4,5106967,3757094,0.736,49578,500132
1701196175.0,5,37.2,37.2,-10.7,-1.2,-21.8,11.1,3969583,2765472,0.697,57177,512474
1701196255.0,6,42.1,42.1,-9.3,-1.0,-19.2,9.9,4580452,3284921,0.717,57945,528119
1701196325.0,6,36.4,36.4,-12.2,-0.9,-22.8,10.6,3566580,2433545,0.682,59695,415944
1701196405.0,6,49.6,49.6,-7.9,-0.8,-17.3,9.4,5056148,3667451,0.725,57569,386198
1701196475.0,6,28.0,28.0,-14.3,-1.1,-26.2,11.9,2825772,1814822,0.642,52410,363445
1701196555.0,6,32.8,32.8,-11.6,-1.2,-22.7,11.1,3658273,2456496,0.671,59911,482567
1701196625.0,6,37.2,37.2,-10.0,-1.6,-20.8,10.8,4270648,2989668,0.7,61229,500721
1701196705.0,6,-10,59.0,-4.3,-0.8,-10.8,6.5,5399556,3975647,0.736,51523,459230
1701196775.0,6,48.0,48.0,-7.4,-0.8,-16.4,9.0,5662088,4112667,0.726,65643,435724
1701196855.0,6,40.2,40.2,-8.5,-0.8,-18.0,9.5,4927397,3526668,0.716,62185,424100
1701196935.0,6,43.9,43.9,-7.4,-0.9,-16.2,8.8,5551767,4036425,0.727,58246,447761
1701197005.0,6,38.6,38.6,-8.5,-0.8,-18.1,9.6,4872306,3466774,0.712,56877,404589
1701197085.0,6,44.5,44.5,-7.2,-0.8,-16.1,8.9,5577628,4059608,0.728,58516,483098
1701197155.0,6,33.8,33.8,-10.0,-1.0,-20.4,10.4,4187882,2901904,0.693,61238,426037
1701197235.0,6,25.4,25.4,-14.4,-1.0,-26.3,11.9,2589838,1673371,0.646,53338,336519
1701197305.0,6,29.7,29.7,-11.5,-1.1,-21.8,10.3,3602327,2420233,0.672,54555,429704
1701197385.0,6,43.4,43.4,-8.1,-1.0,-17.2,9.1,5380782,3899239,0.725,58750,416363
1701197455.0,7,28.0,28.0,-12.1,-1.3,-23.7,11.6,3281089,2176881,0.663,54829,384086
1701197535.0,7,44.5,44.5,-8.2,-1.0,-17.6,9.4,5391891,3904606,0.724,58499,437072
1701197605.0,7,42.1,42.1,-9.3,-0.9,-19.1,9.8,4864846,3478619,0.715,60227,397523
1701197685.0,7,25.4,25.4,-16.1,-2.1,-28.7,12.6,2154758,1346444,0.625,51501,380145
