end_time,run,gain_set,gain_actual,signal,peak_signal,noise,snr,modes,bad,p_bad,messages_valid,max_distance
1701124705.0,4,37.2,37.2,-8.5,-0.8,-17.9,9.4,5425256,3907977,0.72,52926,402824
1701124775.0,4,36.4,36.4,-9.4,-0.9,-19.3,9.9,5123462,3627115,0.708,57635,440702
1701124855.0,5,29.7,29.7,-11.2,-1.1,-21.2,10.0,3918650,2670230,0.681,53549,434934
1701124925.0,5,43.4,43.4,-7.4,-0.9,-16.3,8.9,5811494,4272320,0.735,52696,449499
1701125005.0,5,38.6,38.6,-9.8,-0.8,-18.8,9.0,5052669,3638736,0.72,52170,464530
1701125085.0,5,32.8,32.8,-11.4,-0.7,-21.3,9.9,4240587,2950905,0.696,49848,373740
1701125155.0,5,33.8,33.8,-10.2,-1.0,-19.9,9.7,4425768,3123389,0.706,52253,416560
1701125235.0,5,37.2,37.2,-9.6,-1.0,-19.2,9.6,4447490,3161779,0.711,54139,406843
1701125305.0,5,40.2,40.2,-9.6,-1.0,-19.2,9.6,4574289,3283136,0.718,56140,413513
1701125385.0,5,28.0,28.0,-13.8,-1.6,-24.8,11.0,2882300,1889315,0.655,49330,369636
1701125455.0,5,49.6,49.6,-7.8,-0.9,-17.4,9.6,5124456,3734327,0.729,53778,477704
1701125535.0,5,36.4,36.4,-10.4,-1.1,-21.2,10.8,3787356,2629830,0.694,51843,399981
1701125605.0,5,43.9,43.9,-8.7,-1.1,-17.8,9.1,4842725,3516819,0.726,52301,414656
1701125685.0,5,48.0,48.0,-8.2,-1.1,-17.5,9.3,5038983,3675767,0.729,52521,364031
1701125755.0,5,-10,59.0,-4.6,-0.9,-11.8,7.2,5337132,3950430,0.74,44876,375262
1701125835.0,5,42.1,42.1,-9.5,-1.0,-19.2,9.7,4502634,3237901,0.719,54603,397126
1701125905.0,5,44.5,44.5,-7.9,-1.0,-18.1,10.2,4910648,3565942,0.726,53317,402611
